project_id,project_name,sector,implementing_agency,sanctioned_cost_cr,sanctioned_duration_months,start_date,elapsed_time_pct,fund_utilization_pct,physical_progress_pct,cost_overrun_pct,delay_months,risk_label
PRJ0001,Pumped Storage Hydro Power Package 6,Power & Energy,RVNL,452.95,24,2022-01-02,42.1,35.6,30.6,19.0,3.5,Medium
PRJ0002,Elevated Corridor & Flyover Zone 2,Roads & Highways,Indian Railways,45.55,30,2023-01-05,64.0,67.8,63.4,1.1,1.8,Low
PRJ0003,High-Voltage 765kV Transmission Line 62,Power & Energy,DMRC,45.0,60,2023-08-17,83.8,83.5,86.4,2.5,2.4,Low
PRJ0004,River Interlinking Canal Package 7,Water & Sanitation,NTPC,76.78,24,2023-07-24,25.8,20.6,11.6,13.8,1.8,Medium
PRJ0005,Bypass & Ring Road Section 68,Roads & Highways,Indian Railways,194.43,48,2020-12-06,84.8,84.2,72.2,18.8,10.2,Medium
PRJ0006,Gas Insulated Substation & Grid Augmentation 33,Power & Energy,DMRC,67.79,30,2021-03-27,46.6,29.8,17.1,34.1,5.9,High
PRJ0007,Station Redevelopment & Multi-Modal Hub 81,Railways,RVNL,89.55,18,2021-12-04,94.7,94.2,94.7,3.1,1.3,Low
PRJ0008,Offshore Wind Transmission Hub 1,Renewable Energy,RVNL,116.54,36,2022-03-26,87.5,81.0,75.4,21.6,6.5,Medium
PRJ0009,Border Road Connectivity Corridor 53,Roads & Highways,CPWD,45.0,48,2022-03-30,60.0,55.7,56.6,6.2,2.3,Low
PRJ0010,Railway Doubling & Electrification Line 67,Railways,DMRC,380.32,30,2022-11-16,52.7,37.5,21.8,26.3,9.5,High
PRJ0011,Suburban Rail Line Expansion Phase 7,Railways,BRO,134.97,24,2020-04-07,35.0,36.8,26.0,20.3,2.4,Medium
PRJ0012,Suburban Rail Line Expansion Phase 2,Railways,DMRC,135.18,48,2021-04-01,78.7,76.1,67.5,11.1,7.7,Medium
PRJ0013,River Interlinking Canal Package 2,Water & Sanitation,RVNL,268.59,36,2023-02-06,48.8,46.1,36.2,15.2,3.4,Medium
PRJ0014,Smart City Multi-Level Interchange 78,Urban Infrastructure,DMRC,139.97,18,2022-05-01,82.6,74.8,50.5,41.3,6.6,High
PRJ0015,Station Redevelopment & Multi-Modal Hub 35,Railways,Indian Railways,175.58,24,2022-11-10,65.9,64.2,54.1,19.3,2.8,Medium
PRJ0016,Smart City Multi-Level Interchange 31,Urban Infrastructure,BRO,154.67,30,2022-12-07,106.0,100.1,95.1,21.7,5.0,Medium
PRJ0017,Bypass & Ring Road Section 24,Roads & Highways,State PWD,280.51,30,2023-06-28,81.1,79.1,68.6,18.3,4.4,Medium
PRJ0018,Super Thermal Power Station Expansion Unit 13,Power & Energy,NHAI,1268.3,18,2021-06-05,40.3,36.0,38.3,7.3,2.1,Low
PRJ0019,Border Road Connectivity Corridor 62,Roads & Highways,CPWD,449.82,30,2021-09-01,96.4,83.9,71.6,28.1,18.9,High
PRJ0020,Bio-CNG & Waste-to-Energy Plant 7,Renewable Energy,BRO,325.86,18,2022-09-27,27.1,18.0,10.5,16.1,1.4,Medium
PRJ0021,Desalination Plant & Distribution Grid 74,Water & Sanitation,RVNL,109.94,24,2022-01-03,88.9,78.6,71.0,17.9,6.6,Medium
PRJ0022,Ultra Mega Solar Park Substation 4,Power & Energy,RVNL,641.55,24,2022-08-11,36.9,40.3,38.4,0.1,0.2,Low
PRJ0023,Expressway Corridor Phase 7,Roads & Highways,State PWD,351.84,24,2021-12-02,55.5,60.9,55.8,4.4,1.7,Low
PRJ0024,High-Voltage 765kV Transmission Line 76,Power & Energy,State PWD,212.37,36,2023-01-17,74.4,72.7,59.3,9.7,4.4,Medium
PRJ0025,Expressway Corridor Phase 8,Roads & Highways,SECI,252.36,30,2023-08-03,100.1,93.5,83.6,9.8,8.4,Medium
PRJ0026,Smart City Multi-Level Interchange 21,Urban Infrastructure,RVNL,187.0,30,2022-11-09,101.2,95.4,97.5,4.0,1.5,Low
PRJ0027,Floating Solar PV Power Array 5,Renewable Energy,NHAI,45.0,30,2022-03-08,68.2,66.9,59.0,14.1,5.0,Medium
PRJ0028,Railway Doubling & Electrification Line 32,Railways,RVNL,1009.89,18,2020-04-07,96.1,82.8,78.8,18.5,4.9,Medium
PRJ0029,Ultra Mega Solar Park Substation 3,Power & Energy,BRO,308.0,30,2021-08-01,109.3,109.3,96.4,10.9,7.1,Medium
PRJ0030,Elevated Corridor & Flyover Zone 2,Roads & Highways,BRO,454.25,48,2021-11-16,102.8,96.4,99.1,2.7,1.9,Low
PRJ0031,Elevated Corridor & Flyover Zone 5,Roads & Highways,BRO,313.53,24,2022-03-20,102.3,98.4,87.9,14.5,5.6,Medium
PRJ0032,NH-98 4-Lane Widening Package 3,Roads & Highways,BRO,725.43,30,2021-10-07,87.3,78.7,56.4,46.9,9.9,High
PRJ0033,Railway Doubling & Electrification Line 90,Railways,BRO,203.41,18,2023-05-09,83.8,75.5,58.8,22.8,7.4,High
PRJ0034,Super Thermal Power Station Expansion Unit 12,Power & Energy,State PWD,185.25,30,2020-07-25,95.1,90.2,89.9,4.0,2.5,Low
PRJ0035,Inner Ring Road Grade Separator 7,Urban Infrastructure,DMRC,567.52,18,2021-06-14,106.0,98.8,88.3,16.1,6.6,Medium
PRJ0036,Bypass & Ring Road Section 63,Roads & Highways,RVNL,281.45,36,2023-07-09,94.6,98.6,97.8,2.9,1.4,Low
PRJ0037,Gas Insulated Substation & Grid Augmentation 32,Power & Energy,CPWD,254.26,30,2020-12-29,46.9,49.4,46.8,0.1,1.7,Low
PRJ0038,Expressway Corridor Phase 5,Roads & Highways,State PWD,268.59,24,2023-08-05,76.7,71.5,71.7,3.9,0.3,Low
PRJ0039,Suburban Rail Line Expansion Phase 8,Railways,CPWD,451.95,18,2023-08-19,99.2,94.2,86.1,10.5,4.4,Medium
PRJ0040,Bypass & Ring Road Section 37,Roads & Highways,SECI,243.59,18,2020-04-23,112.9,101.2,95.0,12.3,7.1,Medium
PRJ0041,Dedicated Freight Corridor Section 90,Railways,RVNL,187.54,36,2020-10-21,67.9,66.1,54.0,12.7,5.1,Medium
PRJ0042,Station Redevelopment & Multi-Modal Hub 16,Railways,BRO,57.81,18,2022-03-02,90.1,93.6,79.9,16.9,2.6,Medium
PRJ0043,Bypass & Ring Road Section 96,Roads & Highways,NTPC,240.43,36,2023-05-16,103.3,101.5,91.8,19.8,10.7,Medium
PRJ0044,NH-13 4-Lane Widening Package 3,Roads & Highways,BRO,271.37,36,2023-08-19,91.6,86.9,82.3,20.3,5.9,Medium
PRJ0045,Expressway Corridor Phase 7,Roads & Highways,CPWD,88.78,60,2021-09-27,110.8,99.1,100.0,2.8,2.3,Low
